STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz,
CPU type:,Intel Kabylake processor,
CPU clock:,2.904108704 GHz,
TABLE,Region StartNewtonTrab1,Group 1 Raw,L3,5
Region Info,HWThread 3,
RDTSC Runtime [s],0.031463,
call count,1,
Event,Counter,HWThread 3
INSTR_RETIRED_ANY,FIXC0,130276900
CPU_CLK_UNHALTED_CORE,FIXC1,60426500
CPU_CLK_UNHALTED_REF,FIXC2,65148220
L2_LINES_IN_ALL,PMC0,717452
L2_TRANS_L2_WB,PMC1,247286
TABLE,Region StartNewtonTrab1,Group 1 Metric,L3,10
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0315,
Runtime unhalted [s],0.0208,
Clock [MHz],2693.6288,
CPI,0.4638,
L3 load bandwidth [MBytes/s],1459.3959,
L3 load data volume [GBytes],0.0459,
L3 evict bandwidth [MBytes/s],503.0137,
L3 evict data volume [GBytes],0.0158,
L3 bandwidth [MBytes/s],1962.4095,
L3 data volume [GBytes],0.0617,
