,L2 miss ratio,Runtime (RDTSC) [s],call count,L3 bandwidth [MBytes/s],DP [MFLOP/s],AVX DP [MFLOP/s],AVG TIME,region,n_size
"('StartNewtonTrab1', 10)",0.2207,0.0053,1.0,1209.6914,5.4754,0.0,0.0053,StartNewtonTrab1,10
"('AlocVariavelTrab1', 10)",0.2936,5.483851e-06,1.0,7632.2988,1.4449,0.0,5.483851e-06,AlocVariavelTrab1,10
"('LeVariavelTrab1', 10)",0.3209,7.051551e-06,1.0,10449.9512,0.9195,0.0,7.051551e-06,LeVariavelTrab1,10
"('EscreveParciaisTrab1', 10)",0.2759,0.0012,1.0,1093.9977,0.1208,0.0,0.0012,EscreveParciaisTrab1,10
"('MetodoNewtonTrab1', 10)",0.2017,0.003,1.0,1469.283,9.1014,0.0,0.003,MetodoNewtonTrab1,10
"('LiberaMemoriaTrab1', 10)",0.1941,4.732747e-07,1.0,45144.718,13.4444,0.0,4.732747e-07,LiberaMemoriaTrab1,10
"('StartNewtonTrab1', 32)",0.2882,0.0399,1.0,1821.1044,20.5917,0.0,0.0399,StartNewtonTrab1,32
"('AlocVariavelTrab1', 32)",0.3111,1.397646e-05,1.0,3594.0785,0.7246,0.0,1.397646e-05,AlocVariavelTrab1,32
"('LeVariavelTrab1', 32)",0.3802,0.0001,1.0,5890.1745,0.5127,0.0,0.0001,LeVariavelTrab1,32
"('EscreveParciaisTrab1', 32)",0.3055,0.0075,1.0,970.1416,0.2434,0.0,0.0075,EscreveParciaisTrab1,32
"('MetodoNewtonTrab1', 32)",0.286,0.0311,1.0,2126.1972,26.9954,0.0,0.0311,MetodoNewtonTrab1,32
"('LiberaMemoriaTrab1', 32)",0.2544,1.066133e-06,1.0,23522.6524,6.0651,0.0,1.066133e-06,LiberaMemoriaTrab1,32
